backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
acp_m6,42,10.0,10,25,8,router_1,router_12,3,True,,736.69638751,0.9100005853105104,10.860;14.370;22.980;34.081;38.731;50.581;75.021;104.412;113.322;120.432;138.872;145.762;159.703;168.792;174.482;179.122;199.063;204.233;218.173;232.883;240.073;544.183;555.193;559.083;566.353;572.493;575.183;585.894;594.804;600.944;602.584;613.294;619.734;636.745;655.255;663.265;674.575;678.085;689.185;693.376;725.086;736.696
acp_m6,42,10.0,10,25,21,router_2,router_12,5,True,,946.31898751,0.8350647775747673,17.940;26.940;39.831;53.301;62.271;89.241;96.122;116.812;128.502;131.892;152.583;162.473;170.693;179.963;185.183;190.143;201.833;216.834;225.054;238.524;241.494;674.885;701.435;716.125;728.416;740.106;748.196;751.916;774.526;791.447;795.917;804.137;810.107;819.667;830.157;841.247;860.138;881.438;893.128;906.178;933.149;946.319
acp_m6,42,10.0,10,25,22,router_2,router_12,5,True,,854.28407501,0.8338509112218608,11.640;25.110;35.421;53.391;64.611;76.581;79.251;82.971;88.191;98.511;129.681;136.402;149.842;157.732;172.122;181.512;186.432;198.402;201.373;213.362;221.613;629.893;646.063;656.233;658.873;679.063;682.783;702.254;707.144;711.284;718.724;746.444;753.914;758.085;765.255;781.725;789.195;801.165;807.135;815.325;819.844;854.284
acp_m6,42,10.0,10,25,23,router_2,router_12,5,True,,835.13542501,0.8370785945940835,14.940;25.140;35.641;46.141;52.861;61.081;63.721;86.941;100.861;114.782;120.391;127.111;144.332;161.552;173.942;191.912;199.432;207.232;213.982;221.722;233.692;636.722;652.233;666.453;669.423;684.093;690.673;706.983;712.083;719.873;722.843;730.014;762.094;767.184;771.674;776.894;785.865;790.785;819.395;825.815;829.885;835.135
acp_m6,42,10.0,10,25,24,router_4,router_12,4,True,,1047.79962501,0.869910091237263,34.111;39.201;52.841;70.681;88.911;96.411;109.312;117.412;124.312;133.902;148.612;168.253;202.143;231.534;256.364;259.064;274.364;288.464;294.764;324.465;327.165;703.025;721.176;752.816;765.706;773.076;808.467;831.107;864.277;889.167;914.058;919.448;939.018;957.908;978.019;999.919;1015.809;1019.119;1026.679;1032.739;1037.299;1047.800
acp_m6,42,10.0,10,25,25,router_4,router_12,4,True,,958.94910001,0.8714214546458923,8.910;15.810;32.751;53.371;67.761;97.471;112.772;127.162;137.072;151.462;163.772;174.333;190.833;201.333;223.834;241.534;253.374;277.534;288.035;297.925;309.035;673.045;686.685;696.445;707.546;712.936;721.326;738.446;751.346;759.736;782.247;802.947;818.837;838.348;857.988;877.348;899.989;924.129;931.019;934.349;952.049;958.949
acp_m6,42,10.0,10,25,26,router_4,router_12,4,True,,877.17773751,0.8715410712171903,18.360;23.010;43.401;48.791;52.091;74.051;89.641;94.201;99.682;107.772;114.672;122.232;125.172;129.672;138.042;146.162;161.752;172.313;186.703;195.093;205.073;566.683;586.633;597.134;604.774;608.664;633.554;656.944;660.245;673.805;691.195;702.585;729.726;745.616;749.586;766.976;788.116;795.616;811.507;837.897;844.037;877.178
acp_m6,42,10.0,10,25,12,router_7,router_12,3,True,,759.50681251,0.9048853568490469,13.110;15.420;18.570;26.130;46.981;65.131;71.281;75.631;78.481;100.381;105.482;151.382;155.122;172.833;175.983;200.883;204.033;205.683;208.533;222.933;227.583;529.443;536.343;574.744;579.394;587.334;603.844;606.244;650.645;661.295;674.946;680.346;693.996;703.896;709.296;736.447;738.097;743.497;748.147;751.887;753.447;759.507
acp_m6,42,10.0,10,25,13,router_7,router_12,3,True,,794.57745001,0.905481362919321,12.810;38.911;40.561;46.401;53.971;69.571;89.221;96.871;100.021;108.122;113.972;120.712;134.272;150.922;158.272;160.212;178.373;182.483;191.093;203.243;204.893;528.503;535.403;541.554;561.414;569.814;600.715;603.865;613.905;644.815;652.465;657.865;664.765;699.416;707.066;713.966;726.866;730.016;740.127;753.777;785.427;794.577
acp_m6,42,10.0,10,25,14,router_7,router_12,3,True,,838.43755001,0.9064426162920047,15.660;37.701;46.020;54.121;60.261;103.471;120.872;142.472;167.072;170.972;186.783;189.183;192.783;200.133;214.973;234.633;269.284;283.524;294.784;310.684;314.424;633.534;636.685;643.495;649.105;657.505;662.905;670.465;690.865;692.515;695.655;700.225;713.036;741.686;777.087;784.737;796.887;798.827;809.487;819.387;825.537;838.438
