backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
acp_m6,42,20.0,5,25,5,router_13,router_12,5,True,,1018.56693751,0.8284742072631733,32.680;48.801;79.281;96.401;114.521;159.642;173.521;189.962;209.082;212.722;237.922;663.962;717.163;744.403;776.444;849.285;873.725;913.846;925.086;953.806;999.447;1018.567
acp_m6,42,20.0,5,25,18,router_16,router_12,3,True,,608.08367501,0.9064010244265804,16.160;21.400;35.040;68.601;88.961;94.761;112.321;126.682;142.242;161.882;182.042;484.202;491.402;505.763;519.323;540.883;544.843;559.083;577.723;591.964;603.884;608.084
acp_m6,42,20.0,5,25,19,router_16,router_12,3,True,,728.64395001,0.9065741561065077,13.560;29.800;47.041;81.161;97.961;118.601;138.761;157.402;196.042;219.362;240.562;543.522;593.323;604.123;613.683;620.323;631.883;646.523;657.843;676.484;694.724;728.644
acp_m6,42,20.0,5,25,20,router_16,router_12,3,True,,942.40771251,0.9039049047001733,37.161;65.801;92.441;106.161;127.401;154.562;169.322;238.963;274.123;317.284;337.644;663.604;740.245;752.886;757.646;772.286;811.606;829.246;858.407;898.647;920.288;942.408
acp_m6,42,20.0,5,25,27,router_18,router_12,5,True,,1051.24840001,0.812861364601426,35.240;84.481;167.322;190.963;226.363;244.403;278.444;294.884;318.005;322.725;349.125;788.365;819.206;866.006;874.446;916.887;944.527;966.287;994.728;1035.168;1038.808;1051.248
acp_m6,42,20.0,5,25,28,router_18,router_12,5,True,,737.80323751,0.8355416747794624,57.681;69.040;86.161;109.881;119.001;150.122;163.642;182.002;187.802;195.442;199.242;628.882;662.803;668.283;682.723;694.763;698.403;702.043;711.363;716.763;734.163;737.803
acp_m6,42,20.0,5,25,29,router_18,router_12,5,True,,1031.52807501,0.8225848918433049,18.240;44.040;57.640;86.041;95.841;124.641;165.082;219.922;231.723;244.163;280.603;713.444;786.685;803.125;824.525;852.926;902.566;923.807;937.447;964.287;1000.688;1031.528
acp_m6,42,20.0,5,25,0,router_21,router_12,4,True,,868.40472501,0.8656028409762933,30.160;60.361;87.961;121.961;141.801;160.401;205.002;210.361;215.561;244.202;255.962;615.522;644.522;664.362;678.963;721.883;744.123;767.363;811.604;814.204;860.565;868.405
acp_m6,42,20.0,5,25,1,router_21,router_12,4,True,,861.36533751,0.8612949344577505,20.560;92.561;111.161;135.762;148.602;168.762;183.002;197.602;203.802;230.962;252.202;662.363;688.963;740.804;747.044;767.244;773.844;785.445;804.005;827.645;841.205;861.365
acp_m6,42,20.0,5,25,2,router_21,router_12,4,True,,908.28526251,0.865606423944385,23.160;50.401;70.001;91.161;112.601;140.201;156.802;179.002;244.603;276.803;315.163;669.323;713.923;737.523;763.684;776.084;814.764;829.924;845.084;853.884;888.285;908.285
odo,43,20.0,5,25,6,router_0,router_12,2,True,,878.60851251,0.9478824447600026,16.600;44.401;83.401;112.002;122.402;177.403;192.803;252.204;254.404;266.204;314.604;595.605;642.005;644.405;661.806;691.206;712.606;733.007;766.407;802.808;824.208;878.609
odo,43,20.0,5,25,7,router_0,router_12,2,True,,1010.61071251,0.946336873741709,20.600;94.001;122.602;139.202;177.403;189.203;204.203;300.805;364.606;398.006;442.607;703.607;710.007;734.407;749.807;791.208;847.609;933.010;955.410;976.810;989.210;1010.611
odo,43,20.0,5,25,8,router_0,router_12,2,True,,898.20873751,0.9465756237780164,88.601;112.001;135.402;145.802;172.802;174.202;220.403;233.003;256.403;301.004;355.405;618.805;650.205;693.206;711.406;767.807;791.607;802.608;834.008;851.408;875.808;898.209
odo,43,20.0,5,25,21,router_5,router_12,3,True,,976.12816251,0.9071600422029719,53.961;87.601;121.721;139.282;159.682;198.483;245.123;286.684;301.244;333.804;343.364;691.325;722.125;761.686;794.246;833.887;862.207;876.767;917.408;928.928;952.488;976.128
